2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.Prosody Starting power-on self test.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.Prosody Power-on self test complete.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale te).
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale tr).
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale tr).
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
